Niger ,12525094,1267000,800,17.6
Burkina Faso ,13902972,274200,1100,26.6
Sierra Leone ,6005250,71740,500,31.4
Guinea ,9690222,245857,2100,35.9
Afghanistan ,31056997,647500,700,36
Somalia ,8863338,637657,500,37.8
Gambia,1641564,11300,1700,40.1
Senegal ,11987121,196190,1600,40.2
Iraq ,26783383,437072,1500,40.4
Benin ,7862944,112620,1100,40.9
Mauritania ,3177388,1030700,1800,41.7
Angola ,12127071,1246700,1900,42
Bhutan ,2279723,47000,1300,42.2
Guinea-Bissau ,1442029,36120,800,42.4
Ethiopia ,74777981,1127127,700,42.7
Bangladesh ,147365352,144000,1900,43.1
Nepal ,28287147,147181,1400,45.2
Pakistan ,165803560,803940,2100,45.7
Mali ,11716829,1240000,900,46.4
Chad ,9944201,1284000,1200,47.5
Mozambique ,19686505,801590,1200,47.8
Wallis and Futuna ,16025,274,3700,50
Yemen ,21456188,527970,800,50.2
Cote d Ivoire ,17654843,322460,1400,50.9
Central African Rep. ,4303356,622984,1100,51
Burundi ,8090068,27830,600,51.6
Morocco ,33241259,446550,4000,51.7
Haiti ,8308504,27750,1600,52.9
Vanuatu ,208869,12200,2900,53
Comoros ,690948,2170,700,56.5
Liberia ,3042004,111370,1000,57.5
Egypt ,78887007,1001450,4000,57.7
Seychelles ,81541,455,7800,58
East Timor ,1062777,15007,500,58.6
Eritrea ,4786994,121320,700,58.6
India ,1095351995,3287590,2900,59.5
Togo ,5548702,56785,1500,60.9
Sudan ,41236378,2505810,1900,61.1
Malawi ,13013926,118480,600,62.7
Gabon ,1424906,267667,5500,63.2
Papua New Guinea ,5670544,462840,2200,64.6
Republic of Congo,62660551,2345410,700,65.5
Laos ,6368481,236800,1700,66.4
Saint Lucia ,168458,616,5400,67
Nicaragua ,5570129,129494,2300,67.5
Djibouti ,486530,23000,1300,67.9
Nigeria ,131859731,923768,900,68
Madagascar ,18595469,587040,800,68.9
Cambodia ,13881427,181040,1900,69.4
Uganda ,28195754,236040,1400,69.9
Algeria ,32930091,2381740,6000,70
Rwanda ,8648248,26338,1300,70.4
Guatemala ,12293545,108890,4100,70.6
Tunisia ,10175014,163610,6900,74.2
Ghana ,22409572,239460,2200,74.8
Oman ,3102229,212460,13100,75.8
Honduras ,7326496,112090,2600,76.2
Cape Verde ,420979,4033,1400,76.6
Syria ,18881361,185180,3300,76.9
United Arab Emirates ,2602713,82880,23200,77.9
Tanzania ,37445392,945087,600,78.2
Saudi Arabia ,27019731,1960582,11800,78.8
Cameroon ,17340702,475440,1800,79
Sao Tome & Principe ,193413,1001,1200,79.3
Iran ,68688433,1648000,7000,79.4
Botswana ,1639833,600370,9000,79.8
El Salvador ,6822378,21040,4800,80.2
Zambia ,11502010,752614,800,80.6
Swaziland ,1136334,17363,4900,81.6
Qatar ,885359,11437,21500,82.5
Libya ,5900754,1759540,6400,82.6
French Guiana ,199509,91000,8300,83
Kuwait ,2418393,17820,19000,83.5
Congo,3702314,342000,700,83.8
Namibia ,2044147,825418,7200,84
Dominican Republic ,9183984,48730,6000,84.7
Lesotho ,2022331,30355,3000,84.8
Kenya ,34707817,582650,1000,85.1
Burma ,47382633,678500,1800,85.3
Mauritius ,1240827,2040,11400,85.6
Equatorial Guinea ,540109,28051,2700,85.7
Brazil ,188078227,8511965,7600,86.4
South Africa ,44187637,1219912,10700,86.4
Albania ,3581655,28748,4500,86.5
Turkey ,70413958,780580,6700,86.5
Bolivia ,8989046,1098580,2400,87.2
Lebanon ,3874050,10400,4800,87.4
Indonesia ,245452739,1919440,3200,87.9
Jamaica ,2758124,10991,3900,87.9
Malaysia ,24385858,329750,9000,88.7
Reunion ,787584,2517,5800,88.9
Micronesia,108004,702,2000,89
Antigua & Barbuda ,69108,443,11000,89
Bahrain ,698585,665,16900,89.1
Guadeloupe ,452776,1780,8000,90
Vietnam ,84402966,329560,2500,90.3
Zimbabwe ,12236805,390580,1900,90.7
China ,1313973713,9596960,5000,90.9
Peru ,28302603,1285220,5100,90.9
New Caledonia ,219246,19060,15000,91
Jordan ,5906760,92300,4300,91.3
Palau ,20579,458,9000,92
Mexico ,107449525,1972550,9000,92.2
Sri Lanka ,20222240,65610,3700,92.3
Ecuador ,13547510,283560,3300,92.5
Colombia ,43593035,1138910,6300,92.5
Singapore ,4492150,693,23700,92.5
Philippines ,89468677,300000,4600,92.6
